#  extra_sigma   eta1   eta2   eta3   eta4   ndim   maxNp   Np   P0   K0   phi0   ecc0   w0   staleness   vsys
# 
7.648923000000000527e-02 1.896678499999999989e-01 3.196760830000000109e+00 2.001843573000000021e+01 1.035993479999999911e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.306111480999999941e+01 1.039078479999999916e+00 3.049310950000000187e+00 3.268668599999999813e-01 2.677728979999999925e+00 0.000000000000000000e+00 -3.101516000000000162e+01
3.112447999999999951e-02 1.782152899999999984e-01 1.431153450000000049e+00 2.548142325999999969e+01 3.948525010000000002e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.303036136000000056e+01 1.393297650000000054e+00 3.171036470000000218e+00 3.911741000000000246e-01 2.843140229999999935e+00 0.000000000000000000e+00 -3.099399401999999881e+01
3.635578700000000052e-01 3.440148800000000229e-01 1.306419290000000011e+00 3.036785902000000092e+01 1.345720629999999973e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.278228838000000067e+01 1.813982329999999976e+00 2.750123499999999943e+00 5.237524199999999963e-01 3.216509550000000051e+00 2.000000000000000000e+00 -3.090405880000000138e+01
1.111058000000000011e-02 1.638837789999999961e+00 2.189280639999999778e+00 3.163024811000000014e+01 3.612063700000000210e+00 5.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.082379462000000103e+01
1.178363399999999978e-01 3.469088000000000171e-01 5.043071689999999663e+00 3.605261773000000147e+01 4.800384499999999832e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.298331602000000018e+01 9.288033300000000381e-01 2.358897530000000131e+00 4.505089400000000244e-01 3.677481010000000161e+00 2.000000000000000000e+00 -3.062959133000000023e+01
3.099755799999999728e-01 1.347102650000000068e+00 4.184483310000000067e+00 1.448015486999999979e+01 3.882119889999999796e+00 5.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.012277363999999835e+01
3.519732799999999995e-01 6.464165899999999576e-01 2.659845045999999869e+01 2.663255618000000169e+01 6.985902099999999892e-01 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.630194859999999579e+00 4.710739600000000138e-01 2.146176039999999841e+00 1.852931800000000018e-01 5.003464600000000484e-01 2.000000000000000000e+00 -3.072549850000000049e+01
3.028758400000000073e-01 1.298997640000000064e+00 2.561804040000000171e+00 3.832982072000000073e+01 1.987940239999999914e+00 5.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.017683245999999997e+01
7.188621800000000173e-01 2.745473299999999783e-01 1.852036126999999865e+01 2.541741574999999997e+01 6.962514699999999834e-01 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.320560930000000077e+00 5.572956999999999494e-01 4.621068270000000311e+00 3.331132399999999771e-01 1.285454389999999947e+00 1.000000000000000000e+00 -3.089235662000000104e+01
5.549671000000000465e-01 8.014312300000000500e-01 3.438611090000000203e+00 1.721431592000000066e+01 4.997477339999999657e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.195601828000000033e+01 1.064862940000000036e+00 5.326884790000000258e+00 2.156553999999999971e-01 4.737675499999999817e-01 0.000000000000000000e+00 -3.094421488000000053e+01
